"sample","putative species","nominal species","latitude","longitude","denominator","original reads","aligned reads","median coverage"
"CUMV_14730_Ct_leon","C. leonhardii 2","C. leonhardii",-26.226,121.5575,4954548,3458454,2364626,27
"CUMV_14742_Ct_leon","C. leonhardii 2","C. leonhardii",-28.133,123.8667,5331517,3827934,2539853,31
"CUMV_14744_Ct_leon","C. leonhardii 2","C. leonhardii",-27.586,119.5208,5176481,2632726,1861965,25
"CUMV_14811_Ct_aria","C. ariadnae","C. ariadnae",-26.226,121.5575,966844,324054,181441,6
"CUMV_14812_Ct_aria","C. ariadnae","C. ariadnae",-26.226,121.5575,4718273,4521030,2756281,34
"CUMV_14817_Ct_quat","C. quattuordecimlineatus 2","C. quattuordecimlineatus",-27.586,119.5208,6171890,4493216,3425260,29
"CUMV_14820_Ct_quat","C. quattuordecimlineatus 2","C. quattuordecimlineatus",-27.586,119.5208,3835249,789826,542702,8
"CUMV_14845_Ct_calu","C. nigrilineatus","C. calurus",-28.133,123.8667,3338800,2669350,1506933,26
"CUMV_14847_Ct_quat","C. quattuordecimlineatus 1","C. quattuordecimlineatus",-28.133,123.8667,3973745,2265448,1447624,21
"CUMV_14851_Ct_calu","C. calurus 1","C. calurus",-28.133,123.8667,2855489,979488,685394,11
"CUMV_14858_Ct_calu","C. calurus 2","C. calurus",-26.226,121.5575,5627340,4599172,3516926,34
"NA_ABTC03841_Ct_robu","C. spaldingi 5","C. robustus",-27,151.83,1047356,262866,170155,7
"NA_ABTC10487_Ct_broo","C. brooksi","C. brooksi",-29.96667,123.7667,5427835,4053740,2474812,30
"NA_ABTC10512_Ct_leae","C. leae","C. leae",-29.96667,123.7667,5358949,2942510,2032082,25
"NA_ABTC113798_Ct_scho","C. schomburgkii 1","C. schomburgkii",-24.08083,143.1983,3985983,1759066,1273969,18
"NA_ABTC113879_Ct_stra","C. strauchii 2","C. strauchii",-24.09389,143.3081,4300575,4394004,2667331,35
"NA_ABTC113897_Ct_hebe","C. hebetior","C. hebetior",-26.76278,142.5239,5054435,2954384,2125929,25
"NA_ABTC125975_Ct_allo","C. allotropis","C. allotropis",NA,NA,5053596,1386866,1026826,12
"NA_ABTC12607_Ct_broo","C. brooksi","C. brooksi",-24.66667,131.8333,3135956,850608,539472,10
"NA_ABTC12623_Ct_scho","C. schomburgkii 1","C. schomburgkii",-24.43333,131.8167,4168329,1641308,1039345,15
"NA_ABTC60781_Ct_hele","C. inornatus 1","C. helenae",-20.83,130.42,1778623,3773726,1386665,40
"NA_ABTC86833_Ct_regi","C. regius","C. regius",-34.58333,142.2167,4355245,1001506,749886,11
"NA_CCM0044_Ct_euta",NA,"C. eutaenius",-19.13263,146.86902,NA,NA,NA,NA
"NA_CCM0090_Ct_late","C. inornatus 1","C. lateralis",-18.82119,143.40658,1720164,2295542,765688,21
"NA_CCM0535_Ct_inor","C. superciliaris 2","C. inornatus",-15.61091,131.11597,2322282,1954684,900523,17
"NA_CCM0750_Ct_haly","C. halysis","C. halysis",-15.1276,126.1352,4629927,2603916,1672109,22
"NA_CCM0751_Ct_haly","C. halysis","C. halysis",-15.1276,126.1352,4954706,4387438,2727752,36
"NA_CCM0753_Ct_robu","C. inornatus 2","C. robustus",-15.1393,126.1571,3163217,2391704,1156357,21
"NA_CCM0804_Ct_haly","C. halysis","C. halysis",-15.1328,126.1478,4829919,2490426,1611492,19
"NA_CCM0816_Ct_haly","C. halysis","C. halysis",-15.1328,126.1478,4953451,2616610,1753442,21
"NA_CCM0817_Ct_haly","C. halysis","C. halysis",-15.1328,126.1478,4574300,3316424,2042831,28
"NA_CCM0820_Ct_haly","C. halysis","C. halysis",-15.1361,126.1523,3807867,1333688,805592,12
"NA_CCM0823_Ct_robu","C. inornatus 2","C. robustus",-15.3383,126.5917,2743622,1457602,681651,13
"NA_CCM0830_Ct_inor","C. inornatus 2","C. inornatus",-15.3394,126.5893,2815155,1617092,767686,15
"NA_CCM0847_Ct_robu","C. inornatus 2","C. robustus",-15.1328,126.1478,2860692,1742524,841254,16
"NA_CCM0848_Ct_inor","C. inornatus 1","C. inornatus",-15.2002,125.9067,1688566,2521786,835803,24
"NA_CCM0849_Ct_inor","C. inornatus 2","C. inornatus",-15.2002,125.9067,3055614,2621130,1229909,22
"NA_CCM0850_Ct_inor","C. inornatus 2","C. inornatus",-15.1989,125.9035,3357634,1821122,852465,15
"NA_CCM0946_Ct_inor","C. inornatus 2","C. inornatus",-14.51903,126.45811,3384433,2881344,1401053,25
"NA_CCM0947_Ct_inor","C. inornatus 2","C. inornatus",-14.73119,126.46005,2088858,727966,340345,9
"NA_CCM0956_Ct_robu","C. spaldingi 3","C. robustus",-14.75187,126.47722,4032366,3535716,1995371,30
"NA_CCM0978_Ct_deca","C. decaneurus 1","C. decaneurus",-14.73666,126.46609,7351462,3996366,3176964,24
"NA_CCM0980_Ct_mast","C. inornatus 2","C. mastigura",-14.74225,126.46691,3542794,2831218,1351278,23
"NA_CCM1006_Ct_ehma","C. ehmanni","C. ehmanni",-14.88556,126.35986,5916982,4798424,3691767,29
"NA_CCM1013_Ct_ehma","C. ehmanni","C. ehmanni",-14.88556,126.35986,6339400,5896540,4631764,36
"NA_CCM1061_Ct_sp","C. inornatus 2","C. NA",-16.0969,126.5112,3461169,3884606,1814381,32
"NA_CCM1206_Ct_robu","C. inornatus 2","C. robustus",-14.671,125.733,3384852,4763756,2216633,40
"NA_CCM1249_Ct_inor","C. inornatus 1","C. inornatus",-17.06662,125.2501,1841762,3344088,902097,23
"NA_CCM1388_Ct_robu","C. spaldingi 3","C. robustus",-16.4927,125.3447,4739010,2543296,1579148,23
"NA_CCM1389_Ct_robu","C. spaldingi 3","C. robustus",-16.4668,125.3723,3763428,5939048,1735669,22
"NA_CCM1390_Ct_inor","C. inornatus 2","C. inornatus",-16.49954,125.33637,3428065,4162614,1949477,34
"NA_CCM1409_Ct_robu","C. spaldingi 3","C. robustus",-16.4668,125.3723,5324385,6332648,4065685,54
"NA_CCM1412_Ct_robu","C. spaldingi 3","C. robustus",-16.494,125.3417,4908363,3128206,1973470,28
"NA_CCM1415_Ct_robu","C. spaldingi 3","C. robustus",-16.4894,125.3518,4025872,2351478,1485584,25
"NA_CCM1424_Ct_ehma","C. halysis","C. ehmanni",-16.4984,125.3554,5016377,3053696,1856629,25
"NA_CCM1425_Ct_ehma","C. halysis","C. ehmanni",-16.494,125.3417,4659193,2069348,1238091,17
"NA_CCM1444_Ct_inor","C. inornatus 1","C. inornatus",-17.2932,127.2175,2066156,2523290,931858,25
"NA_CCM1445_Ct_inor","C. inornatus 1","C. inornatus",-17.2923,127.172,2171077,3446164,1262873,33
"NA_CCM1470_Ct_inor","C. piankai 2","C. inornatus",-17.2974,127.1902,1453743,1108254,362492,11
"NA_CCM1529_Ct_inor","C. inornatus 2","C. inornatus",-16.81627,126.07679,3318885,2299462,1059914,19
"NA_CCM1530_Ct_robu","C. inornatus 1","C. robustus",-16.82743,126.21642,2080516,2459002,883186,23
"NA_CCM1579_Ct_inor","C. inornatus 2","C. inornatus",-16.53559,126.12857,1735283,2282758,575211,21
"NA_CCM1580_Ct_inor","C. inornatus 1","C. inornatus",-16.83117,126.22814,2217020,3832956,1386690,36
"NA_CCM1710_Ct_inor","C. inornatus 1","C. inornatus",-15.29606,131.58511,2150714,2056020,776188,21
"NA_DLR0038_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,2177617,661984,330501,8
"NA_DLR0053_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,2199629,708012,346430,8
"NA_DLR0176_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,3750585,2046998,1043601,18
"NA_DLR0549_Ct_broo","C. brooksi","C. brooksi",-28.133,123.8667,4716612,3576032,1977701,26
"NMVD_67682_Ct_saxa","C. inornatus 1","C. saxatilis",-23.7,132.7,1535676,1548240,556203,18
"NMVD_67793_Ct_leae","C. inornatus 1","C. leae",-24.0425,132.706,2349596,2122306,795639,18
"NTMR_13503_Ct_saxa","C. superciliaris 2","C. saxatilis",-16.823,130.42,1737256,1359026,702618,13
"NTMR_13629_Ct_gree","C. greeri","C. greeri",-17.617,133.517,4742234,2419628,1598321,22
"NTMR_13717_Ct_essi","C. essingtoni 1","C. essingtonii",-12.575,131.825,5042012,3796644,2361807,29
"NTMR_13838_Ct_bore","C. spaldingi 3","C. borealis",-13.03,132.43,3901703,3693364,2173027,33
"NTMR_14947_Ct_calu","C. calurus 1","C. calurus",-20.867,130.267,5289377,2091458,1398524,18
"NTMR_16195_Ct_vert","C. vertebralis","C. vertebralis",-11.95,134,6844657,3081968,2602489,24
"NTMR_16340_Ct_inor","C. superciliaris 2","C. inornatus",-17.3,131,356009,202640,88205,6
"NTMR_17738_Ct_cogg",NA,"C. coggeri",-12.5,132.85,NA,NA,NA,NA
"NTMR_17739_Ct_bore","C. spaldingi 3","C. borealis",-12.37,130.85,3354111,2112184,1247099,22
"NTMR_18309_Ct_regi","C. regius","C. regius",-24.065,132.744167,1706546,514730,336735,9
"NTMR_18323_Ct_robu","C. spaldingi 3","C. robustus",-15.16083,131.6692,3368452,1835786,1109010,19
"NTMR_20364_Ct_arnh","C. arnhemensis","C. arnhemensis",-12.5,132.92,5931005,3384748,2821524,22
"NTMR_20628_Ct_saxa","C. inornatus 1","C. saxatilis",-24.1,132.7,1508963,2411290,813297,25
"NTMR_20687_Ct_robu","C. inornatus 1","C. robustus",-13.3,131.1,316203,229110,64623,7
"NTMR_20846_Ct_saxa","C. superciliaris 1","C. saxatilis",-12.9,132.67,2099041,991092,608905,11
"NTMR_20847_Ct_vert",NA,"C. vertebralis",-13.03,132.43,NA,NA,NA,NA
"NTMR_20881_Ct_gagu","C. gagudju","C. gagudju",-12.67,132.91,1871162,498816,302459,8
"NTMR_21670_Ct_spal","C. spaldingi 2","C. spaldingi",-15.533,133.183,5011410,3066086,2197909,28
"NTMR_22166_Ct_robu","C. spaldingi 4","C. robustus",-13.26472,130.9633,5567975,3107972,2592037,31
"NTMR_22167_Ct_bore","C. spaldingi 3","C. borealis",-13.265,130.962222,1580756,546560,317806,9
"NTMR_22175_Ct_robu","C. spaldingi 3","C. robustus",-13.265,130.961389,2949896,4752684,2698524,46
"NTMR_22188_Ct_essi","C. essingtoni 1","C. essingtonii",-13.41361,130.8972,4737451,3496330,2280720,33
"NTMR_22191_Ct_essi","C. essingtoni 1","C. essingtonii",-13.414,130.897222,3027756,2725480,1706203,17
"NTMR_22298_Ct_spal","C. spaldingi 2","C. spaldingi",-15.48333,135.4122,6051934,6030504,4460780,53
"NTMR_22299_Ct_spal","C. spaldingi 2","C. spaldingi",-15.53306,135.4081,6028375,5133874,3789110,46
"NTMR_22301_Ct_robu","C. spaldingi 3","C. robustus",-15.533,135.408056,1525907,1855944,290409,9
"NTMR_22325_Ct_spal","C. spaldingi 2","C. spaldingi",-16.01583,135.6669,6111771,5650734,4147115,50
"NTMR_22387_Ct_mili","C. militaris","C. militaris",-15.835,129.108611,5085098,2040578,1634924,15
"NTMR_22432_Ct_saxa","C. superciliaris 1","C. saxatilis",-15.578,135.429722,2335866,936834,643461,11
"NTMR_22441_Ct_stri","C. striaticeps","C. striaticeps",-15.719,135.470833,3670454,1287558,923123,13
"NTMR_22620_Ct_robu","C. spaldingi 3","C. robustus",-15.30667,135.3408,4004219,4651808,2799170,39
"NTMR_22621_Ct_spal","C. spaldingi 2","C. spaldingi",-15.30667,135.3408,4569701,1589174,1203363,17
"NTMR_22622_Ct_spal","C. spaldingi 2","C. spaldingi",-15.30667,135.3408,4915195,2211574,1685289,22
"NTMR_22934_Ct_robu","C. spaldingi 3","C. robustus",-15.307,129.158333,1310956,367116,220145,8
"NTMR_23004_Ct_bore","C. spaldingi 3","C. borealis",-11.78222,130.7744,3794731,3808254,2195993,38
"NTMR_23150_Ct_cogg","C. coggeri","C. coggeri",-12.383,133.075833,2247663,915564,637987,11
"NTMR_23791_Ct_robu","C. spaldingi 3","C. robustus",-16.853,130.185556,2243390,940472,567429,13
"NTMR_23960_Ct_robu","C. spaldingi 3","C. robustus",-12.2175,134.9847,4123288,3899692,2271912,36
"NTMR_25649_Ct_leon","C. leonhardii 1","C. leonhardii",-25.845,133.310556,4217204,3038920,1962320,19
"NTMR_25983_Ct_spal","C. superciliaris 2","C. spaldingi",-16.03778,130.79,3224657,4756076,2327733,39
"NTMR_26117_Ct_inor","C. superciliaris 1","C. inornatus",-13.283,133.533333,2771202,1857664,1135833,17
"QM_48384_Ct_robu","C. spaldingi 5","C. robustus",-22.4,143,1653435,439074,273911,8
"QM_59674_Ct_ingr","C. ingrami","C. ingrami",-26.536,149.42,3806513,1212968,943429,12
"QM_62377_Ct_broo","C. euclae","C. brooksi",-25.65,140.233333,2120639,704710,343314,8
"QM_76028_Ct_euta",NA,"C. eutaenius",-17.15,144.467,NA,NA,NA,NA
"QM_82086_Ct_spal",NA,"C. spaldingi",-15.8,145.25,NA,NA,NA,NA
"QM_82940_Ct_ingr","C. ingrami","C. ingrami",-26.163,147.4575,1287,8598,3961,5
"QM_84335_Ct_quin","C. quinkan","C. quinkan",-15.683,144.55,4848844,5050478,3889900,25
"QM_87405_Ct_rosa","C. rosarium","C. rosarium",-20.724,145.179,5060296,2319746,1889308,18
"QMJ_62372_Ct_regi","C. regius","C. regius",-25.65,140.2333,2866996,687052,454175,8
"QMJ_62373_Ct_asta","C. astarte","C. astarte",-25.36667,141.4667,5860931,4549976,3279648,34
"QMJ_62380_Ct_dux","C. dux","C. dux",-23.83333,138.0833,4477231,1823460,1243304,19
"QMJ_74401_Ct_zebr","C. zebrilla","C. zebrilla",-20.16389,144.5183,4658788,1744372,1237585,17
"SAMAR_24688_Ct_leae","C. leae","C. leae",-28.66667,140.2167,4897991,2833652,1885821,25
"SAMAR_25378_Ct_scho","C. schomburgkii 2","C. schomburgkii",-30.8,132.1167,4489977,3261138,2153564,32
"SAMAR_25605_Ct_regi",NA,"C. regius",-30.8,132.1167,6454183,3216320,2690717,30
"SAMAR_25645_Ct_orie","C. orientalis 1","C. orientalis",-31.53333,132.2667,3466267,2224086,1414352,19
"SAMAR_25688_Ct_eucl","C. euclae","C. euclae",-31.49222,131.2667,3845365,2001080,1127484,18
"SAMAR_26265_Ct_scho","C. schomburgkii 2","C. schomburgkii",-31.61389,129.1056,4425880,3033550,1935478,26
"SAMAR_28517_Ct_olym","C. olympicus","C. olympicus",-32.33333,136.2833,4269608,2652258,1598123,25
"SAMAR_29853_Ct_leae","C. leae","C. leae",-25.5,131.8167,4151963,1271328,852598,12
"SAMAR_29939_Ct_broo","C. brooksi","C. brooksi",-25.5,131.8167,5103721,3101966,1970561,26
"SAMAR_29946_Ct_dux","C. dux","C. dux",-25.5,131.8167,4619609,2042038,1339499,18
"SAMAR_31877_Ct_regi","C. regius","C. regius",-30.92389,134.0303,5367159,2903122,2229441,28
"SAMAR_31889_Ct_leae","C. leae","C. leae",-30.89278,134.1,5198497,2869264,2092158,26
"SAMAR_32029_Ct_broo","C. brooksi","C. brooksi",-30.58556,132.2392,4326032,2093672,1315918,20
"SAMAR_32054_Ct_leae","C. leae","C. leae",-30.55194,132.145,5147487,2398822,1748586,23
"SAMAR_32255_Ct_scho","C. schomburgkii 2","C. schomburgkii",-29.44528,130.1744,3614401,1672768,1088513,19
"SAMAR_32289_Ct_regi","C. regius","C. regius",-29.85972,130.1022,4812600,1654802,1221976,18
"SAMAR_33571_Ct_taen","C. taeniolatus","C. taeniolatus",-30.16667,149.9333,5504847,3749894,2529896,33
"SAMAR_33727_Ct_taen","C. taeniolatus","C. taeniolatus",-32.38333,150.6833,3286252,920652,584552,10
"SAMAR_34180_Ct_bore","C. superciliaris 1","C. borealis",-16.45,134.6167,1620103,1717190,669232,15
"SAMAR_34202_Ct_spal","C. spaldingi 2","C. spaldingi",-17.33333,138.25,4904529,2248420,1669930,22
"SAMAR_34260_Ct_joan","C. joanae","C. joanae",-20.05,137.0167,5667747,2695014,2033557,20
"SAMAR_34261_Ct_late","C. inornatus 1","C. lateralis",-19.91667,138.1667,2116288,1496954,573542,16
"SAMAR_34743_Ct_taen","C. taeniolatus","C. taeniolatus",-29.33333,151.9,3549544,1076256,698598,11
"SAMAR_34780_Ct_stra","C. strauchii 1","C. strauchii",-31.63333,137.6167,3716251,1069770,606872,10
"SAMAR_35025_Ct_aria","C. ariadnae","C. ariadnae",-26.95,140.95,5325361,5493778,2731333,28
"SAMAR_35050_Ct_scho","C. schomburgkii 1","C. schomburgkii",-28.28333,140.9,3693030,1077744,758659,12
"SAMAR_36034_Ct_taen","C. euclae","C. taeniolatus",-28.75,138.4667,3167985,3401556,738025,12
"SAMAR_36086_Ct_leae","C. leae","C. leae",-25.23333,131.0167,5682164,2783758,1964914,23
"SAMAR_36575_Ct_eucl","C. euclae","C. euclae",-33.175,134.825,4551659,3728364,2105652,27
"SAMAR_36710_Ct_essi","C. essingtoni 2","C. essingtonii",-11.16667,132.1333,5739063,1749304,1332497,14
"SAMAR_36883_Ct_stra","C. strauchii 2","C. strauchii",-27.71667,142.8,4596422,2897128,1708283,22
"SAMAR_37073_Ct_scho","C. schomburgkii 1","C. schomburgkii",-34.31667,139.5,4422613,3758444,2312688,32
"SAMAR_37916_Ct_stra","C. strauchii 1","C. strauchii",-29.55833,137.325,4992660,4222588,2418987,33
"SAMAR_38117_Ct_aria","C. ariadnae","C. ariadnae",-26.28333,136.1,5274151,3196734,2176533,27
"SAMAR_39563_Ct_taen","C. euclae","C. taeniolatus",-35.62389,140.4789,4120141,3655426,1778004,27
"SAMAR_41282_Ct_olym","C. olympicus","C. olympicus",-33.70278,140.9889,3782317,1314070,787680,13
"SAMAR_42343_Ct_stra","C. strauchii 1","C. strauchii",-30.56667,139.35,1472791,2721246,434092,8
"SAMAR_42658_Ct_taen","C. euclae","C. taeniolatus",-25.23333,139.55,2833396,3362266,1193435,17
"SAMAR_42675_Ct_pulc","C. pulchellus 1","C. pulchellus",-21.73333,139.55,3347570,3172276,1021544,15
"SAMAR_42687_Ct_late","C. inornatus 1","C. lateralis",-20.71667,139.55,2204820,2519498,952270,24
"SAMAR_42701_Ct_pulc","C. pulchellus 1","C. pulchellus",-20.36667,140.2833,5173772,3878622,2564195,27
"SAMAR_42708_Ct_pulc","C. pulchellus 1","C. pulchellus",-20.76667,139.4833,6145060,2485766,1789498,19
"SAMAR_42743_Ct_stra","C. strauchii 3","C. strauchii",-21.91667,144.4167,5740783,1902808,1238883,13
"SAMAR_42768_Ct_late","C. inornatus 1","C. lateralis",-22.96667,142.9,1888792,2051176,768007,21
"SAMAR_42776_Ct_hebe","C. hebetior","C. hebetior",-22.96667,142.9,4774670,2498696,1691543,21
"SAMAR_42788_Ct_hebe","C. hebetior","C. hebetior",-23.75,141.1333,5179202,3446524,2266107,30
"SAMAR_42800_Ct_stra","C. strauchii 1","C. strauchii",-23.66667,140.9667,3427553,2236520,1204972,19
"SAMAR_42823_Ct_asta","C. astarte","C. astarte",-23.55,140.6833,5338904,1901688,1317287,16
"SAMAR_42837_Ct_late","C. inornatus 1","C. lateralis",-23.51667,141.4,749142,549102,181306,9
"SAMAR_42840_Ct_asta","C. astarte","C. astarte",-23.63333,141.6667,6070186,3537168,2421818,23
"SAMAR_42843_Ct_asta","C. astarte","C. astarte",-23.63333,142.2,4826399,1911528,1352390,15
"SAMAR_42874_Ct_stra","C. strauchii 2","C. strauchii",-24.11667,143.4167,3508364,1353536,876011,13
"SAMAR_42880_Ct_hebe","C. hebetior","C. hebetior",-24.11667,143.4167,4410034,1566142,1123625,16
"SAMAR_42903_Ct_asta","C. astarte","C. astarte",-25.56667,141.5167,6784445,3818152,2708189,27
"SAMAR_42949_Ct_orie","C. orientalis 2","C. orientalis",-25.75,140.7167,5476091,2988288,2189884,23
"SAMAR_42950_Ct_orie","C. orientalis 2","C. orientalis",-25.68333,140.7333,5278530,2780188,2036070,20
"SAMAR_42955_Ct_stra","C. strauchii 1","C. strauchii",-25.68333,140.7333,3858386,1837844,1051224,16
"SAMAR_43599_Ct_olym","C. olympicus","C. olympicus",-29.55,135.2833,3783139,1787810,1074039,17
"SAMAR_43880_Ct_leae","C. leae","C. leae",-26.76167,139.53,5176460,3472364,2286807,27
"SAMAR_43945_Ct_joan","C. joanae","C. joanae",-27.07139,138.6719,5872686,2974228,2328425,24
"SAMAR_44654_Ct_olym","C. olympicus","C. olympicus",-27.75,134.6222,3715619,1479462,889043,15
"SAMAR_44726_Ct_sept","C. septenarius","C. septenarius",-27.56778,134.4911,4024583,3719702,1938239,32
"SAMAR_45381_Ct_calu","C. calurus 1","C. calurus",-26.95333,131.4353,5456340,3061032,2258597,29
"SAMAR_45516_Ct_stra","C. strauchii 2","C. strauchii",-31.06667,142.55,4089093,3591654,2112965,29
"SAMAR_45620_Ct_olym","C. olympicus","C. olympicus",-29.06667,138.4833,2217195,1064622,638115,13
"SAMAR_45960_Ct_aria","C. ariadnae","C. ariadnae",-26.615,129.3139,3907958,2046582,1211146,18
"SAMAR_45963_Ct_broo","C. brooksi","C. brooksi",-26.48778,129.1736,4506441,2059410,1422503,21
"SAMAR_45966_Ct_leae","C. leae","C. leae",-26.48778,129.1736,5328316,3574924,2599254,33
"SAMAR_46332_Ct_leae","C. leae","C. leae",-29.78417,136.9228,5323001,3585560,2587720,33
"SAMAR_46343_Ct_olym","C. olympicus","C. olympicus",-29.51361,136.1558,1105869,430852,259860,9
"SAMAR_46452_Ct_scho","C. schomburgkii 1","C. schomburgkii",-29.13694,136.5664,4844944,2983442,2264655,33
"SAMAR_46903_Ct_sept",NA,"C. septenarius",-26.69722,135.6425,NA,NA,NA,NA
"SAMAR_47257_Ct_taen","C. euclae","C. taeniolatus",-28.4325,136.4533,4340516,2654178,1559732,23
"SAMAR_48354_Ct_scho","C. schomburgkii 1","C. schomburgkii",-30.46306,140.9447,5081986,2322372,1677767,22
"SAMAR_48573_Ct_dux","C. dux","C. dux",-27.33583,130.2261,5095696,2273672,1559456,22
"SAMAR_48699_Ct_calu","C. calurus 1","C. calurus",-27.01417,129.87,5994921,4216334,3074636,34
"SAMAR_48785_Ct_calu","C. calurus 1","C. calurus",-27.06083,129.8239,5686485,3321680,2402317,26
"SAMAR_49444_Ct_orie","C. orientalis 1","C. orientalis",-36.49111,140.37,4843597,4950688,3036512,40
"SAMAR_50902_Ct_stra","C. strauchii 1","C. strauchii",-26.78667,138.3025,4124836,2828902,1596838,23
"SAMAR_51093_Ct_spal","C. spaldingi 2","C. spaldingi",-17.56667,133.5333,4417671,1403136,1058629,15
"SAMAR_51242_Ct_regi","C. regius","C. regius",-27.02028,133.47,5033277,3586408,2529186,36
"SAMAR_53967_Ct_regi","C. regius","C. regius",-24.55528,133.2383,4200536,1300408,897292,14
"SAMAR_54020_Ct_joan","C. joanae","C. joanae",-18.59222,136.0894,4686212,3008492,2310708,25
"SAMAR_54164_Ct_regi","C. regius","C. regius",-27.77833,138.2758,4608516,1234998,916275,14
"SAMAR_54433_Ct_late","C. inornatus 1","C. lateralis",-19.39472,140.2367,2165221,2749052,1019712,26
"SAMAR_54463_Ct_late","C. inornatus 1","C. lateralis",-19.22639,140.3481,1724877,1724516,600049,18
"SAMAR_54485_Ct_spal","C. spaldingi 2","C. spaldingi",-20.98583,145.0317,4486667,2304712,1545362,23
"SAMAR_55259_Ct_late","C. inornatus 1","C. lateralis",-21.91306,140.0217,2250872,2742352,1045326,27
"SAMAR_55603_Ct_taen","C. taeniolatus","C. taeniolatus",-24.32583,150.9403,4255190,3362406,2129044,29
"SAMAR_55675_Ct_spal","C. spaldingi 2","C. spaldingi",-21.09167,145.0044,4121761,1389748,942836,15
"SAMAR_55677_Ct_hebe","C. hebetior","C. hebetior",-21.09167,145.0044,3895352,3971166,2362445,37
"SAMAR_55709_Ct_zebr","C. zebrilla","C. zebrilla",-20.38056,144.4222,4819526,3457360,2334829,29
"SAMAR_55731_Ct_robu","C. spaldingi 5","C. robustus",-20.65528,141.7975,887516,4128976,1387735,30
"SAMAR_55799_Ct_late","C. inornatus 1","C. lateralis",-18.12833,144.6328,1880671,3910410,1333184,39
"SAMAR_55848_Ct_stra","C. zebrilla","C. strauchii",-19.8175,146.0314,3128019,1409108,851418,14
"SAMAR_55863_Ct_taen","C. taeniolatus","C. taeniolatus",-16.93333,145.7667,3808204,2801380,1644774,27
"SAMAR_55882_Ct_taen","C. taeniolatus","C. taeniolatus",-24.1975,146.5508,4359874,3154842,1986447,28
"SAMAR_58943_Ct_broo","C. brooksi","C. brooksi",-29.08639,130.2689,3530008,1037408,666085,11
"SAMAR_61390_Ct_eucl","C. euclae","C. euclae",-32.14722,133.1417,4301835,2272380,1396614,21
"SAMAR_62561_Ct_scho","C. schomburgkii 1","C. schomburgkii",-29.87778,133.6169,4630444,3301982,2193319,31
"SAMAR_66522_Ct_leae","C. leae","C. leae",-30.4436,137.8297,4911090,2334098,1590859,22
"SAMAR_67475_Ct_orie","C. orientalis 1","C. orientalis",-33.55306,136.4458,2766450,772082,458270,9
"SAMR_19910_Ct_robu","C. spaldingi 5","C. robustus",-32.2,135.116667,3350331,2683352,1725727,28
"SAMR_29480_Ct_impa","C. impar","C. impar",-33.733,121.3333,3207449,1356310,1043795,11
"SAMR_29707_Ct_brac","C. inornatus 1","C. brachyonyx",-33.2,140.916667,1492836,4517938,1559238,47
"SAMR_31859_Ct_atla","C. atlas","C. atlas",-30.615,133.2322,1703821,772864,443296,11
"SAMR_32256_Ct_atla","C. atlas","C. atlas",-29.445,130.1744,2161457,1273186,755076,14
"SAMR_32276_Ct_hele","C. inornatus 1","C. helenae",-29.525,130.15,1281200,984080,350055,13
"SAMR_33560_Ct_robu","C. spaldingi 5","C. robustus",-30.25,149.85,3306921,2433716,1578303,24
"SAMR_33707_Ct_robu","C. spaldingi 5","C. robustus",-33.2,149.666667,3272459,1472710,970220,17
"SAMR_34123_Ct_hill","C. inornatus 1","C. hilli",-12.65,132.8833,1324145,3381220,1074042,37
"SAMR_35905_Ct_taen","C. euclae","C. taeniolatus",-26.283,136.083333,3738774,2748856,1654027,25
"SAMR_35964_Ct_hele","C. inornatus 1","C. helenae",-26.517,135.466667,1418384,2951784,953179,30
"SAMR_36098_Ct_dux","C. dux","C. dux",-25.233,131.0167,5259004,3030582,2038973,27
"SAMR_36192_Ct_pian","C. piankai 1","C. piankai",-25.233,131.016667,73952,73326,47972,5
"SAMR_36252_Ct_brac","C. inornatus 1","C. brachyonyx",-34.9,140.45,1557427,3221562,1175170,39
"SAMR_36349_Ct_brac","C. inornatus 1","C. brachyonyx",-27.717,139.316667,1523011,6958726,2278182,62
"SAMR_36603_Ct_robu","C. spaldingi 5","C. robustus",-35.083,148.916667,2660786,921164,612988,13
"SAMR_36875_Ct_regi","C. inornatus 1","C. regius",-27.55,144.316667,149519,126850,47243,6
"SAMR_37942_Ct_atla","C. atlas","C. atlas",-33.294,137.2083,4008865,2490638,1407679,21
"SAMR_37962_Ct_atla","C. atlas","C. atlas",-33.167,137.1333,1246707,353118,212930,8
"SAMR_37975_Ct_robu","C. spaldingi 5","C. robustus",-33.833,139.016667,2868770,1486644,959902,16
"SAMR_38802_Ct_pant","C. pantherinus","C. pantherinus",-21.533,133.883333,1488561,619152,325666,9
"SAMR_41330_Ct_brac","C. inornatus 1","C. brachyonyx",-33.128,140.605556,933699,520118,196738,9
"SAMR_42034_Ct_dux","C. dux","C. dux",-26.26,130.3853,5540784,5007956,3383634,43
"SAMR_42153_Ct_pant","C. pantherinus","C. pantherinus",-25.686,140.616389,3869240,5105508,2755646,50
"SAMR_42487_Ct_stra","C. strauchii 1","C. strauchii",-27.257,135.505,4535633,3089978,1773821,27
