"sample","putative species","nominal species","latitude","longitude","denominator","original reads","aligned reads","median coverage"
"WAMR_119955_Ct_pian","C. piankai 1","C. piankai",-21.667,121.5833,3529593,3704202,2516342,24
"WAMR_119962_Ct_pant","C. pantherinus","C. pantherinus",-21.667,121.583333,2299523,876238,475412,11
"WAMR_125012_Ct_pant","C. pantherinus","C. pantherinus",-22.732,119.028611,1893169,726518,353329,9
"WAMR_126010_Ct_rima","C. rimacola","C. rimacolus",-15.587,128.996111,2870419,639892,471701,9
"WAMR_126015_Ct_rima","C. rimacola","C. rimacolus",-15.587,128.996111,3895901,1080412,780980,11
"WAMR_126428_Ct_atla","C. atlas","C. atlas",-30.283,119.7603,3871669,3301716,1871439,30
"WAMR_127029_Ct_leon","C. leonhardii 2","C. leonhardii",-25.243,119.631389,2729950,670900,466425,9
"WAMR_127799_Ct_scho","C. schomburgkii 3","C. schomburgkii",-22.808,117.784722,3033581,677072,474756,9
"WAMR_129085_Ct_cate","C. catenifer","C. catenifer",-34.417,115.683333,4307123,1641314,1284899,12
"WAMR_129335_Ct_pant","C. pantherinus","C. pantherinus",-21.683,114.816667,3294389,4055928,2057842,39
"WAMR_129581_Ct_ruti",NA,"C. rutilans",-22.9,119,NA,NA,NA,NA
"WAMR_129885_Ct_pant","C. pantherinus","C. pantherinus",-24.909,126.531944,3590897,2449838,1337805,23
"WAMR_129972_Ct_quat","C. quattuordecimlineatus 1","C. quattuordecimlineatus",-27.217,121.05,1902208,457262,278776,8
"WAMR_129973_Ct_leon","C. leonhardii 2","C. leonhardii",-27.217,121.05,4275717,1336796,856986,13
"WAMR_131053_Ct_quat","C. quattuordecimlineatus 1","C. quattuordecimlineatus",-22.817,127.75,1337334,384766,213335,7
"WAMR_131057_Ct_pant","C. pantherinus","C. pantherinus",-22.817,127.75,2873097,1001662,526647,11
"WAMR_131066_Ct_quat","C. quattuordecimlineatus 1","C. quattuordecimlineatus",-22.817,127.75,40524,76558,37538,6
"WAMR_132520_Ct_pant","C. pantherinus","C. pantherinus",-20.677,116.752222,2341265,969374,435819,10
"WAMR_134166_Ct_pant","C. pantherinus","C. pantherinus",-31.413,117.754444,1905201,1046140,384832,10
"WAMR_135218_Ct_atla","C. atlas","C. atlas",-32.14,121.8444,3456028,2865722,1681372,27
"WAMR_135237_Ct_atla","C. atlas","C. atlas",-32.007,121.8308,3295451,1248930,706542,14
"WAMR_135504_Ct_youn","C. youngsoni","C. youngsoni",-26.383,113.316667,1117876,371320,186282,6
"WAMR_135692_Ct_saxa","C. superciliaris 2","C. saxatilis",-17.983,122.333333,2815232,3424292,1818719,24
"WAMR_135958_Ct_pant",NA,"C. pantherinus",-24.054,120.406667,NA,NA,NA,NA
"WAMR_136457_Ct_atla","C. atlas","C. atlas",-28.617,119.0667,3290031,2637442,1449187,21
"WAMR_139086_Ct_quat","C. quattuordecimlineatus 1","C. quattuordecimlineatus",-19.808,121.463889,2332637,737098,437961,10
"WAMR_139164_Ct_serv","C. leonhardii 2","C. serventyi",-20.65,116.766667,3548718,1086180,606187,10
"WAMR_139249_Ct_saxa","C. pantherinus","C. saxatilis",-21.287,120.459444,2130579,860222,411318,10
"WAMR_139286_Ct_rubi",NA,"C. rubicundus",-21.225,120.355278,NA,NA,NA,NA
"WAMR_139296_Ct_hele","C. inornatus 1","C. helenae",-21.245,120.322222,1186488,1829062,561646,19
"WAMR_139391_Ct_duri","C. duricola 1","C. duricola",-21.204,120.4731,3084358,2164862,1281088,18
"WAMR_139394_Ct_duri","C. duricola 1","C. duricola",-21.351,120.4469,3478360,4632800,2847966,31
"WAMR_139414_Ct_nigr","C. nigrilineatus","C. nigrilineatus",-21.287,120.459444,3100435,1401314,828058,15
"WAMR_139415_Ct_nigr","C. nigrilineatus","C. nigrilineatus",-21.29,120.466389,1448380,453158,248136,8
"WAMR_139423_Ct_duri","C. duricola 2","C. duricola",-21.373,115.3733,2361572,1252672,745433,13
"WAMR_139523_Ct_hele","C. inornatus 1","C. helenae",-22.826,114.444722,881192,791374,256174,12
"WAMR_139532_Ct_iape","C. iapetus","C. iapetus",-22.753,114.513889,4371864,3920136,2934571,19
"WAMR_140704_Ct_pant","C. pantherinus","C. pantherinus",-22.674,119.416111,3425571,1776040,916810,17
"WAMR_140983_Ct_mary","C. ariadnae","C. maryani",-21.784,114.863889,3690319,1304688,777663,13
"WAMR_141025_Ct_xeno",NA,"C. xenopleura",-30.4,119.632778,NA,NA,NA,NA
"WAMR_141131_Ct_hele","C. inornatus 1","C. helenae",-27.965,120.389167,1206849,2137434,651643,21
"WAMR_141244_Ct_labi",NA,"C. labillardieri",-33.644,115.0375,NA,NA,NA,NA
"WAMR_141296_Ct_duri","C. duricola 2","C. duricola",-21.066,116.1492,3349198,4536120,2760201,38
"WAMR_141301_Ct_hele","C. inornatus 1","C. helenae",-21.066,116.149167,1300226,2527684,771557,24
"WAMR_141379_Ct_robu","C. spaldingi 3","C. robustus",-21.102,116.131667,2564953,3101406,1710401,31
"WAMR_144222_Ct_impa","C. impar","C. impar",-33.675,120.398333,4943855,1608908,1107868,13
"WAMR_144639_Ct_leon","C. leonhardii 2","C. leonhardii",-29.796,121.074722,5495430,4048926,2607986,32
"WAMR_145331_Ct_quat","C. quattuordecimlineatus 1","C. quattuordecimlineatus",-25.279,120.619167,1166704,328600,184408,6
"WAMR_145630_Ct_duri","C. duricola 1","C. duricola",-20.78,118.64,2964676,1720742,1076888,16
"WAMR_145646_Ct_uber","C. uber 1","C. uber",-22.39,119.99,8036084,3121944,1730146,11
"WAMR_145686_Ct_robu","C. spaldingi 3","C. robustus",-22.101,118.991389,1680202,871168,459895,12
"WAMR_145926_Ct_hele","C. inornatus 1","C. helenae",-30.723,123.423889,1199385,2113138,661669,21
"WAMR_146012_Ct_robu","C. spaldingi 3","C. robustus",-16.743,124.095,2321391,2181880,1211043,21
"WAMR_146045_Ct_serv",NA,"C. serventyi",-16.747,123.795556,NA,NA,NA,NA
"WAMR_146582_Ct_rubi","C. rubicundus","C. rubicundus",-20.583,116.805833,5033466,2250942,1704931,20
"WAMR_146913_Ct_seve","C. inornatus 1","C. severus",-29.585,117.270278,1099801,2021578,600939,21
"WAMR_146927_Ct_mime","C. mimetes","C. mimetes",-29.756,117.4,4346222,1361832,887488,10
"WAMR_151014_Ct_tant","C. tantillus 2","C. tantillus",-15.546,128.803333,5570110,2327166,1709073,14
"WAMR_151241_Ct_scho","C. schomburgkii 2","C. schomburgkii",-32.86,121.4,2882136,843342,529374,10
"WAMR_151655_Ct_scho","C. schomburgkii 2","C. schomburgkii",-31.195,116.307222,4294119,2429560,1474142,21
"WAMR_151833_Ct_tant","C. tantillus 1","C. tantillus",-13.883,126.566667,4522531,2139390,1639868,12
"WAMR_152991_Ct_seve","C. inornatus 1","C. severus",-27.399,117.470833,1880332,2102242,849969,21
"WAMR_153984_Ct_pant","C. pantherinus","C. pantherinus",-31.325,116.313611,2669578,1643644,766329,18
"WAMR_154016_Ct_fall","C. inornatus 1","C. fallens",-31.642,115.9175,1221171,1842650,622793,22
"WAMR_154802_Ct_uber","C. uber 2","C. uber",-22.068,118.995278,2120107,559884,330001,8
"WAMR_156159_Ct_seve","C. inornatus 1","C. severus",-24.75,117.366667,906748,737324,239698,11
"WAMR_157067_Ct_duri","C. duricola 1","C. duricola",-22.837,119.3972,3197897,2899166,1875999,23
"WAMR_157132_Ct_pian","C. duricola 1","C. piankai",-22.686,120.2467,2781651,1899912,1171331,16
"WAMR_157205_Ct_iape","C. iapetus","C. iapetus",-22.329,114.440278,2311737,763776,571205,9
"WAMR_157327_Ct_rufe","C. nigrilineatus","C. rufescens",-22.3,114.593056,3048542,1876960,1085903,18
"WAMR_157443_Ct_scho","C. schomburgkii 2","C. schomburgkii",-19.593,128.861111,2291061,782884,399966,9
"WAMR_157566_Ct_duri","C. duricola 2","C. duricola",-21.674,115.8892,1449782,509522,284096,9
"WAMR_157583_Ct_hanl","C. hanloni","C. hanloni",-21.748,116.075278,2702935,1171502,637987,15
"WAMR_157646_Ct_hele","C. inornatus 1","C. helenae",-23.312,119.795556,1037391,1540626,433390,16
"WAMR_158107_Ct_duri","C. duricola 1","C. duricola",-22.467,119.023,2880790,1739874,1107685,16
"WAMR_158204_Ct_saxa","C. superciliaris 2","C. saxatilis",-22.403,119.861111,3018420,4939012,2920413,35
"WAMR_158345_Ct_scho","C. schomburgkii 3","C. schomburgkii",-22.796,114.260833,4411881,1515304,1078629,12
"WAMR_158376_Ct_saxa","C. superciliaris 2","C. saxatilis",-22.644,114.415,2739681,2765344,1620541,22
"WAMR_158380_Ct_hanl","C. hanloni","C. hanloni",-22.734,114.436667,1916310,527014,284607,8
"WAMR_158405_Ct_rufe","C. nigrilineatus","C. rufescens",-22.887,114.557222,211345,145048,71342,6
"WAMR_158428_Ct_mary","C. ariadnae","C. maryani",-22.701,114.490278,3709273,1303314,794848,12
"WAMR_158463_Ct_pant","C. pantherinus","C. pantherinus",-22.653,114.188056,3367016,6725946,3162016,54
"WAMR_160095_Ct_duri","C. duricola 1","C. duricola",-21.304,121.2,3129653,3550066,2131287,24
"WAMR_161462_Ct_duri","C. duricola 1","C. duricola",-20.935,119.858,3673289,8431438,5212762,57
"WAMR_161702_Ct_duri",NA,"C. duricola",-20.261,119.42,NA,NA,NA,NA
"WAMR_162334_Ct_duri","C. duricola 1","C. duricola",-22.095,119.753,3208085,3089420,1921815,23
"WAMR_163003_Ct_duri","C. superciliaris 1","C. duricola",-22.104,115.568,3141984,8275710,3919805,32
"WAMR_165940_Ct_tant","C. tantillus 1","C. tantillus",-14.084,126.442778,4529126,5218436,4021577,23
"WAMR_166387_Ct_broo","C. brooksi","C. brooksi",-25.9306,128.4525,15131,49004,29233,6
"WAMR_166391_Ct_hele","C. inornatus 1","C. helenae",-24.6542,128.7553,1702861,4673330,1659392,45
"WAMR_166392_Ct_hele","C. inornatus 1","C. helenae",-24.8914,128.7692,1000011,772906,257769,11
"WAMR_166437_Ct_scho","C. schomburgkii 4","C. schomburgkii",-24.7072,128.7603,5153410,2288994,1729665,23
"WAMR_166441_Ct_dux","C. dux","C. dux",-24.6964,128.7628,4370210,2060126,1419324,20
"WAMR_166448_Ct_leon","C. leonhardii 2","C. leonhardii",-24.9001,128.7697,3072703,907820,556783,10
"WAMR_170291_Ct_duri","C. duricola 2","C. duricola",-23.34,117.801,2842008,1691614,1081323,16
"WAMR_170467_Ct_duri","C. duricola 1","C. duricola",-23.499,120.291,3348235,3777856,2362773,28
"WAMR_170880_Ct_duri","C. duricola 1","C. duricola",-21.237,119.408,3159494,3117666,1922364,22
